genre,color,size,left,top
indonesian edm,"rgb(184, 134, 116)",100%,830px,2541px
metal guitar,"rgb(178, 115, 157)",101%,374px,5681px
papuan traditional,"rgb(77, 145, 27)",100%,579px,13081px
deep soul house,"rgb(169, 139, 179)",101%,1247px,872px
detskie pesni,"rgb(114, 139, 31)",100%,1038px,8791px
progressive electro house,"rgb(208, 123, 97)",111%,876px,1504px
sardinia indie,"rgb(174, 123, 74)",100%,501px,5741px
romanian rock,"rgb(134, 139, 46)",101%,677px,8666px
rock progresivo mexicano,"rgb(138, 132, 125)",100%,535px,10664px
psychedelic hip hop,"rgb(162, 124, 55)",103%,865px,6615px
transpop,"rgb(152, 136, 40)",102%,726px,6101px
south african pop,"rgb(164, 136, 20)",102%,814px,5044px
swedish synthpop,"rgb(177, 136, 69)",103%,738px,2088px
j-indie,"rgb(175, 125, 45)",101%,547px,5185px
gauze pop,"rgb(152, 144, 69)",104%,687px,4634px
jaw harp,"rgb(100, 125, 130)",100%,790px,13148px
middle earth,"rgb(96, 144, 144)",102%,311px,10566px
wandelweiser,"rgb(13, 153, 142)",100%,308px,14296px
inuit traditional,"rgb(103, 123, 63)",100%,786px,12214px
musica para ninos,"rgb(86, 151, 78)",103%,941px,9539px
fluxwork,"rgb(142, 143, 148)",101%,741px,5744px
scottish electronic,"rgb(155, 139, 172)",101%,830px,3689px
morelos indie,"rgb(158, 138, 75)",102%,574px,6204px
leon gto indie,"rgb(183, 128, 32)",100%,601px,4943px
trekkspill,"rgb(110, 159, 90)",100%,684px,10520px
balalaika,"rgb(97, 145, 134)",100%,707px,13499px
austrian dnb,"rgb(214, 132, 141)",100%,947px,1543px
dutch dnb,"rgb(218, 125, 159)",100%,947px,1593px
terrorcore,"rgb(224, 95, 158)",100%,812px,970px
belgian edm,"rgb(197, 132, 78)",104%,936px,1688px
funana,"rgb(181, 133, 22)",100%,1106px,2870px
berlin minimal techno,"rgb(173, 148, 177)",100%,1307px,463px
german worship,"rgb(125, 137, 21)",101%,825px,9211px
pony,"rgb(160, 129, 37)",102%,779px,6389px
chilean rock,"rgb(157, 131, 28)",104%,723px,7789px
caucasian folk,"rgb(82, 154, 61)",100%,427px,13629px
euphonium,"rgb(25, 171, 220)",100%,433px,16083px
peruvian rock,"rgb(179, 126, 24)",102%,741px,6689px
chilean indie,"rgb(150, 139, 40)",103%,748px,7068px
indonesian bamboo,"rgb(127, 152, 129)",100%,786px,10161px
essex indie,"rgb(157, 129, 45)",100%,516px,6012px
ska punk,"rgb(214, 94, 19)",104%,565px,6037px
industrial rock,"rgb(190, 98, 90)",105%,499px,3014px
croatian folk,"rgb(111, 149, 24)",100%,535px,11995px
nuevo folklore argentino,"rgb(132, 148, 66)",101%,957px,8064px
dubsteppe,"rgb(193, 134, 136)",100%,1169px,984px
cambodian traditional,"rgb(76, 159, 57)",100%,806px,14441px
drone folk,"rgb(91, 154, 162)",100%,635px,12940px
quebec indie,"rgb(160, 131, 62)",102%,488px,7142px
south african alternative,"rgb(160, 133, 33)",102%,767px,5081px
japanese indie pop,"rgb(148, 139, 71)",101%,635px,7191px
rock kapak,"rgb(164, 132, 29)",102%,608px,5616px
cologne indie,"rgb(170, 130, 51)",101%,598px,5107px
darksynth,"rgb(200, 136, 173)",101%,457px,1788px
circus,"rgb(120, 127, 145)",100%,653px,10912px
deep latin jazz,"rgb(137, 143, 141)",100%,922px,9223px
tamil worship,"rgb(133, 138, 31)",100%,760px,12178px
rai,"rgb(190, 120, 8)",102%,825px,5959px
j-pixie,"rgb(213, 107, 19)",103%,389px,2605px
kashmiri pop,"rgb(135, 145, 27)",100%,668px,11716px
visual kei,"rgb(218, 94, 30)",103%,297px,3488px
deep contemporary country,"rgb(138, 144, 5)",100%,660px,7814px
country dawn,"rgb(139, 142, 2)",107%,591px,8234px
rap toscana,"rgb(162, 143, 4)",100%,1007px,5759px
indian metal,"rgb(222, 83, 90)",100%,242px,5051px
skinhead oi,"rgb(223, 76, 22)",100%,338px,7827px
spanish death metal,"rgb(227, 71, 140)",100%,211px,6944px
vietnamese bolero,"rgb(124, 153, 4)",100%,540px,10406px
lesotho traditional,"rgb(164, 138, 3)",100%,808px,5359px
jazz saxophone,"rgb(87, 143, 95)",102%,882px,13872px
folklore nuevo argentino,"rgb(128, 147, 23)",100%,902px,10643px
jazz brass,"rgb(79, 150, 111)",100%,851px,14016px
charango,"rgb(137, 141, 72)",100%,976px,10800px
nashville americana,"rgb(125, 148, 6)",101%,619px,9476px
dutch americana,"rgb(129, 146, 13)",101%,593px,9822px
operatic pop,"rgb(87, 156, 37)",103%,300px,14256px
kabyle,"rgb(177, 127, 15)",100%,832px,6063px
uk diy punk,"rgb(220, 86, 29)",100%,306px,6821px
new wave of speed metal,"rgb(232, 69, 81)",100%,174px,6364px
contemporary country,"rgb(164, 136, 1)",120%,569px,5119px
delaware indie,"rgb(188, 110, 42)",100%,385px,7529px
musique comorienne,"rgb(157, 144, 4)",100%,1007px,7411px
canadian punk,"rgb(228, 80, 28)",103%,289px,5790px
swedish heavy metal,"rgb(224, 90, 33)",101%,242px,4333px
danish black metal,"rgb(188, 78, 157)",100%,74px,8540px
islamic recitation,"rgb(59, 166, 3)",101%,842px,15695px
midwest americana,"rgb(125, 148, 18)",101%,586px,10688px
american choir,"rgb(41, 145, 71)",100%,185px,16083px
anime rock,"rgb(212, 109, 17)",106%,415px,2670px
jazz trio,"rgb(78, 152, 172)",101%,918px,14303px
spanish stoner rock,"rgb(190, 117, 84)",100%,278px,6295px
vaqueiro,"rgb(187, 140, 1)",100%,993px,8088px
dronescape,"rgb(75, 124, 218)",100%,62px,12875px
lezginka,"rgb(209, 120, 7)",100%,788px,3285px
pop urbaine,"rgb(178, 138, 5)",113%,1066px,6858px
sungura,"rgb(169, 140, 19)",100%,928px,8828px
tamburica,"rgb(136, 146, 11)",100%,511px,11259px
clean comedy,"rgb(159, 72, 3)",101%,991px,13822px
carnatic,"rgb(124, 136, 57)",100%,753px,14188px
roots americana,"rgb(142, 140, 7)",102%,687px,8704px
brega romantico,"rgb(187, 139, 0)",101%,821px,5636px
indie liguria,"rgb(181, 131, 105)",102%,849px,3423px
musique pour enfants,"rgb(60, 159, 133)",101%,417px,12056px
experimental synth,"rgb(108, 144, 181)",100%,435px,10700px
polish black metal,"rgb(220, 58, 126)",100%,83px,7715px
new wave of thrash metal,"rgb(241, 66, 54)",100%,260px,5913px
melodic metal,"rgb(217, 94, 30)",103%,222px,3780px
finnish power metal,"rgb(211, 106, 34)",102%,233px,3363px
canadian metalcore,"rgb(235, 71, 59)",100%,201px,3934px
canadian post-hardcore,"rgb(220, 88, 38)",101%,215px,6233px
cavernous death metal,"rgb(226, 52, 183)",100%,83px,8876px
koto,"rgb(55, 168, 173)",100%,957px,16234px
geek rock,"rgb(145, 126, 13)",100%,855px,7240px
japanese electropop,"rgb(198, 125, 48)",102%,713px,2075px
rap metalcore,"rgb(200, 109, 32)",100%,603px,4473px
musica para criancas,"rgb(112, 148, 35)",100%,916px,9626px
monterrey indie,"rgb(172, 130, 46)",101%,563px,3932px
powerviolence,"rgb(221, 51, 119)",100%,222px,8169px
chinese drama ost,"rgb(105, 156, 75)",101%,459px,10676px
neo soul-jazz,"rgb(139, 140, 19)",100%,918px,5820px
indian techno,"rgb(183, 142, 203)",100%,1286px,645px
deep free jazz,"rgb(88, 135, 112)",100%,723px,13201px
norwegian experimental,"rgb(114, 128, 140)",100%,366px,10750px
moroccan traditional,"rgb(115, 135, 90)",100%,926px,11950px
indie salvadoreno,"rgb(175, 130, 32)",100%,806px,5334px
bubble trance,"rgb(210, 123, 137)",102%,953px,938px
punk ska,"rgb(199, 110, 24)",100%,673px,5172px
smooth saxophone,"rgb(130, 150, 116)",102%,801px,7129px
art punk,"rgb(185, 100, 59)",102%,553px,7285px
japanese melodic punk,"rgb(222, 92, 36)",100%,389px,4209px
stateside dnb,"rgb(217, 127, 162)",100%,1014px,1294px
musica infantil catala,"rgb(109, 151, 35)",100%,990px,9777px
japanese psychedelic rock,"rgb(160, 115, 119)",100%,278px,9562px
new jack smooth,"rgb(154, 139, 23)",100%,908px,4046px
bal-musette,"rgb(127, 140, 129)",100%,1040px,11282px
neo r&b,"rgb(135, 140, 52)",103%,938px,6653px
dark minimal techno,"rgb(186, 141, 212)",100%,1187px,367px
melodic techno,"rgb(174, 151, 201)",101%,1305px,499px
broadway,"rgb(79, 145, 43)",105%,584px,13413px
lounge,"rgb(77, 145, 51)",108%,693px,14102px
north east england indie,"rgb(170, 116, 40)",101%,488px,7179px
anarcho-punk,"rgb(198, 87, 49)",100%,429px,8986px
swedish electropop,"rgb(177, 136, 51)",105%,776px,2126px
skramz,"rgb(194, 96, 104)",100%,300px,8504px
glitter trance,"rgb(189, 136, 185)",100%,926px,1015px
nintendocore,"rgb(205, 101, 83)",101%,393px,4845px
new french touch,"rgb(168, 144, 90)",108%,995px,2142px
experimental bass,"rgb(181, 128, 98)",100%,995px,3302px
dc hardcore,"rgb(210, 75, 60)",101%,353px,8504px
bristol indie,"rgb(150, 124, 91)",101%,431px,9216px
dark electro-industrial,"rgb(206, 107, 116)",100%,591px,1432px
burundian traditional,"rgb(125, 127, 98)",100%,1166px,10700px
outer hip hop,"rgb(172, 121, 38)",100%,1068px,5396px
dark progressive house,"rgb(178, 145, 209)",100%,1220px,548px
detroit house,"rgb(174, 136, 163)",100%,1273px,798px
rock nica,"rgb(193, 125, 84)",100%,827px,2950px
turkish electronic,"rgb(146, 148, 166)",100%,920px,2845px
faroese jazz,"rgb(96, 145, 126)",100%,673px,12068px
barnemusikk,"rgb(99, 144, 8)",101%,1046px,9614px
thai instrumental,"rgb(84, 165, 95)",100%,713px,12564px
modern performance,"rgb(46, 148, 111)",100%,374px,14631px
brass band,"rgb(125, 132, 130)",101%,758px,11148px
euskal rock,"rgb(155, 130, 18)",101%,650px,8373px
folk siciliana,"rgb(116, 148, 28)",100%,786px,9814px
portuguese early music,"rgb(46, 162, 95)",100%,308px,15729px
latvian folk,"rgb(105, 148, 31)",100%,569px,11370px
sinhala rap,"rgb(159, 140, 13)",100%,902px,6666px
ska revival,"rgb(162, 130, 46)",102%,1055px,7989px
string orchestra,"rgb(41, 168, 144)",100%,323px,15098px
classical clarinet,"rgb(69, 154, 117)",100%,755px,14213px
french movie tunes,"rgb(117, 136, 18)",101%,834px,11357px
parody,"rgb(145, 119, 8)",101%,934px,8950px
lexington ky indie,"rgb(147, 131, 34)",100%,647px,8692px
spoken word,"rgb(121, 125, 19)",100%,1113px,9638px
slovak indie,"rgb(148, 136, 67)",100%,551px,6906px
deep liquid,"rgb(211, 142, 172)",100%,1031px,1046px
mongolian folk,"rgb(96, 157, 75)",100%,399px,12638px
compositional ambient,"rgb(48, 161, 186)",106%,347px,14339px
italian jazz fusion,"rgb(121, 143, 165)",100%,765px,11049px
ska argentino,"rgb(185, 125, 16)",105%,810px,5032px
harpsichord,"rgb(61, 158, 116)",100%,393px,14490px
deep euro house,"rgb(161, 152, 178)",105%,1337px,620px
easy listening,"rgb(80, 145, 56)",105%,544px,13921px
pakistani indie,"rgb(152, 136, 62)",100%,531px,7418px
klezmer,"rgb(99, 148, 63)",100%,774px,12576px
estonian indie,"rgb(143, 140, 86)",100%,467px,8275px
canti alpini,"rgb(102, 141, 19)",100%,518px,11566px
freak folk,"rgb(129, 135, 90)",107%,467px,10737px
dallas indie,"rgb(161, 129, 41)",100%,496px,6796px
old school nederhop,"rgb(192, 110, 11)",100%,1036px,4358px
greek indie,"rgb(132, 143, 43)",101%,664px,8754px
post-punk argentina,"rgb(170, 123, 40)",103%,579px,5753px
electro-industrial,"rgb(207, 109, 102)",101%,632px,1304px
deep pop emo,"rgb(205, 105, 23)",100%,366px,4075px
southern americana,"rgb(132, 145, 13)",100%,533px,10208px
musica de pernambuco,"rgb(162, 129, 26)",100%,894px,8852px
pop emo,"rgb(201, 114, 4)",105%,349px,3276px
skate punk,"rgb(229, 80, 18)",106%,341px,6098px
welsh metal,"rgb(218, 90, 57)",101%,262px,5668px
horror punk,"rgb(218, 82, 30)",101%,317px,6414px
post-metal,"rgb(169, 109, 161)",102%,158px,8244px
porro,"rgb(164, 140, 32)",100%,1138px,8251px
free jazz,"rgb(90, 143, 90)",102%,799px,13791px
punk tico,"rgb(223, 92, 20)",100%,391px,6074px
progressive bluegrass,"rgb(121, 148, 55)",104%,783px,11270px
bulgarian metal,"rgb(208, 98, 73)",100%,273px,5876px
new england emo,"rgb(179, 116, 31)",101%,336px,6673px
forro tradicional,"rgb(175, 128, 18)",101%,910px,8027px
andalusian classical,"rgb(84, 154, 23)",100%,574px,13370px
irish metal,"rgb(207, 85, 84)",100%,188px,6463px
hard bop,"rgb(85, 146, 103)",103%,906px,14117px
uk americana,"rgb(125, 145, 12)",103%,533px,10761px
black noise,"rgb(182, 26, 168)",100%,47px,8888px
metal baiano,"rgb(224, 70, 102)",100%,206px,7790px
deep power-pop punk,"rgb(219, 87, 24)",100%,332px,6160px
cumbia santafesina,"rgb(183, 134, 4)",102%,896px,7815px
polish metal,"rgb(220, 78, 73)",101%,210px,5803px
guitarra argentina,"rgb(59, 167, 149)",100%,1084px,15416px
nordic post-rock,"rgb(119, 147, 173)",101%,187px,9024px
cantonese traditional,"rgb(73, 156, 99)",100%,376px,14317px
doujin,"rgb(168, 134, 98)",100%,838px,3768px
sound art,"rgb(83, 122, 176)",100%,340px,11088px
australian post-hardcore,"rgb(231, 84, 32)",101%,206px,2885px
german post-hardcore,"rgb(227, 91, 18)",101%,224px,2541px
lesen,"rgb(69, 118, 0)",103%,1348px,12014px
progressive metalcore,"rgb(229, 87, 60)",101%,213px,3375px
musicas espiritas,"rgb(71, 162, 89)",100%,553px,12749px
galician jazz,"rgb(91, 155, 128)",100%,677px,12251px
free folk,"rgb(111, 129, 142)",100%,351px,12832px
pop edm,"rgb(201, 130, 59)",112%,795px,1940px
barnalog,"rgb(112, 136, 7)",100%,1029px,10478px
middle eastern traditional,"rgb(101, 149, 109)",100%,758px,14081px
german indie,"rgb(161, 132, 32)",104%,673px,5681px
dutch pop,"rgb(146, 140, 11)",109%,763px,6701px
twee indie pop,"rgb(160, 134, 55)",100%,565px,7092px
happy hardcore,"rgb(227, 102, 80)",103%,690px,1568px
deep orgcore,"rgb(208, 96, 49)",100%,372px,7578px
french indie pop,"rgb(148, 142, 45)",106%,746px,5611px
italian disco,"rgb(190, 127, 51)",102%,963px,1491px
latin rock,"rgb(175, 126, 29)",113%,614px,5308px
k-indie,"rgb(137, 147, 36)",104%,774px,7240px
belgian rock,"rgb(151, 133, 32)",102%,635px,6640px
bergen indie,"rgb(161, 132, 45)",102%,556px,5790px
electro latino,"rgb(204, 127, 43)",104%,1075px,1530px
danish pop rock,"rgb(155, 136, 12)",102%,738px,5007px
australian reggae fusion,"rgb(158, 138, 30)",103%,857px,6756px
british comedy,"rgb(106, 116, 9)",100%,1116px,13542px
tribal house,"rgb(206, 122, 135)",101%,1194px,681px
virginia hip hop,"rgb(165, 123, 12)",102%,1071px,5922px
quiet storm,"rgb(146, 126, 14)",111%,838px,7939px
raw techno,"rgb(204, 132, 205)",101%,1230px,314px
military cadence,"rgb(107, 105, 8)",100%,1208px,13865px
minimal tech house,"rgb(172, 143, 194)",102%,1378px,595px
jazz violin,"rgb(91, 147, 104)",100%,832px,13581px
normal indie,"rgb(149, 128, 50)",100%,558px,8504px
modern string quartet,"rgb(40, 166, 118)",100%,347px,15326px
russian modern classical,"rgb(40, 149, 162)",101%,393px,15717px
norwegian rock,"rgb(166, 122, 28)",102%,499px,8603px
czech indie,"rgb(148, 136, 59)",100%,535px,7031px
lithuanian pop,"rgb(160, 136, 22)",101%,830px,4589px
african rock,"rgb(163, 130, 22)",101%,581px,5426px
minneapolis indie,"rgb(138, 139, 48)",101%,569px,8324px
portuguese pop,"rgb(153, 142, 16)",103%,904px,6072px
norwegian punk,"rgb(200, 98, 30)",100%,443px,8324px
steelpan,"rgb(137, 138, 155)",100%,904px,8815px
children's folk,"rgb(102, 145, 7)",101%,1031px,9650px
oceania soundtrack,"rgb(61, 159, 189)",101%,219px,11842px
hard bass,"rgb(228, 103, 112)",101%,1098px,1220px
danish indie pop,"rgb(128, 148, 59)",100%,535px,9651px
inuit pop,"rgb(142, 141, 23)",100%,781px,7265px
igbo worship,"rgb(174, 134, 34)",100%,951px,7249px
alternative hip hop,"rgb(176, 117, 32)",109%,1018px,7236px
shaabi,"rgb(174, 123, 5)",101%,838px,5998px
nz reggae,"rgb(156, 139, 54)",102%,1055px,3265px
deep house,"rgb(189, 130, 126)",108%,1222px,897px
italian techno,"rgb(191, 141, 212)",101%,1286px,280px
svensk lovsang,"rgb(109, 143, 9)",100%,627px,10492px
future bass,"rgb(169, 141, 77)",103%,733px,4435px
puerto rican indie,"rgb(171, 126, 51)",100%,629px,6439px
greek guitar,"rgb(103, 151, 72)",100%,603px,12214px
wrock,"rgb(140, 130, 17)",100%,673px,8434px
turkish black metal,"rgb(186, 94, 154)",100%,222px,7815px
dong-yo,"rgb(136, 152, 26)",101%,1014px,6832px
portuguese folk,"rgb(99, 154, 37)",100%,577px,11912px
indonesian pop punk,"rgb(192, 119, 44)",102%,467px,4459px
macedonian indie,"rgb(172, 126, 77)",100%,589px,6191px
slovak rock,"rgb(185, 119, 25)",101%,621px,5004px
paracana,"rgb(119, 149, 76)",100%,577px,9278px
baroque,"rgb(43, 164, 116)",104%,397px,15147px
chinese manyao,"rgb(166, 146, 22)",100%,869px,3479px
boy band,"rgb(172, 130, 4)",112%,715px,2627px
popping,"rgb(166, 123, 50)",101%,1152px,2648px
re:techno,"rgb(225, 119, 210)",100%,1164px,86px
future ambient,"rgb(149, 143, 172)",100%,922px,2882px
dark ambient,"rgb(112, 119, 189)",100%,265px,9968px
dutch edm,"rgb(212, 122, 101)",104%,874px,1368px
new comedy,"rgb(152, 78, 3)",101%,1018px,13619px
kenyan traditional,"rgb(83, 143, 31)",100%,1079px,13198px
min'yo,"rgb(88, 159, 28)",100%,668px,12789px
rock uruguayo,"rgb(169, 126, 19)",102%,638px,6525px
corsican folk,"rgb(96, 153, 23)",100%,527px,12401px
german pop,"rgb(165, 130, 13)",111%,765px,5308px
indie napoletano,"rgb(136, 139, 42)",100%,803px,8216px
esperanto,"rgb(137, 141, 19)",100%,803px,7902px
guadalajara indie,"rgb(171, 131, 52)",102%,608px,4671px
louisville indie,"rgb(172, 115, 66)",101%,471px,8913px
indiana indie,"rgb(160, 130, 55)",100%,509px,8442px
indie pop,"rgb(159, 132, 43)",120%,540px,6615px
irish modern jazz,"rgb(87, 154, 92)",100%,707px,12327px
italian occult psychedelia,"rgb(137, 119, 179)",100%,264px,9574px
nyc pop,"rgb(143, 145, 22)",104%,736px,6154px
funk mexicano,"rgb(187, 125, 82)",100%,914px,3230px
gospel r&b,"rgb(153, 131, 6)",101%,684px,7443px
italo house,"rgb(195, 123, 98)",100%,1100px,1343px
harlem hip hop,"rgb(183, 114, 10)",102%,1038px,6806px
native american hip hop,"rgb(168, 130, 14)",100%,1025px,5507px
operetta,"rgb(55, 145, 82)",100%,538px,15738px
cantaditas,"rgb(213, 116, 64)",100%,932px,1294px
pirate,"rgb(207, 92, 25)",101%,421px,6328px
a cappella,"rgb(111, 146, 7)",102%,593px,11283px
gabba,"rgb(228, 89, 78)",101%,589px,1940px
indie paraense,"rgb(137, 145, 43)",100%,767px,6191px
danish folk,"rgb(92, 166, 72)",100%,589px,12672px
fremantle indie,"rgb(162, 132, 33)",101%,624px,5938px
bay area indie,"rgb(162, 125, 58)",102%,492px,9626px
graz indie,"rgb(160, 134, 22)",100%,611px,5364px
surf music,"rgb(176, 115, 146)",101%,728px,9317px
yugoslav new wave,"rgb(177, 119, 30)",100%,743px,5778px
lgbtq+ hip hop,"rgb(172, 130, 20)",108%,1033px,4321px
denton tx indie,"rgb(163, 123, 58)",101%,405px,8692px
arab alternative,"rgb(133, 147, 41)",101%,765px,7203px
reading indie,"rgb(175, 127, 51)",101%,407px,4189px
gothic rock,"rgb(185, 105, 66)",101%,391px,5179px
ethnotronica,"rgb(157, 157, 194)",102%,1295px,1033px
bronx hip hop,"rgb(181, 111, 19)",102%,1157px,4496px
432hz,"rgb(30, 167, 211)",101%,336px,14188px
pianissimo,"rgb(32, 163, 226)",103%,638px,15093px
irish folk,"rgb(95, 151, 24)",102%,653px,12401px
classical mandolin,"rgb(68, 161, 137)",100%,993px,13564px
wind quintet,"rgb(29, 174, 207)",100%,451px,16427px
motivation,"rgb(77, 114, 18)",101%,1258px,12703px
irish banjo,"rgb(119, 154, 95)",100%,880px,12451px
persian alternative,"rgb(125, 147, 44)",100%,660px,9501px
scottish fiddle,"rgb(103, 160, 81)",100%,449px,13133px
hardcore breaks,"rgb(209, 122, 138)",100%,955px,1331px
j-core,"rgb(215, 110, 99)",100%,606px,1842px
electropowerpop,"rgb(200, 114, 15)",102%,565px,2250px
recorder,"rgb(36, 168, 109)",100%,459px,14859px
fort worth indie,"rgb(163, 127, 58)",100%,457px,6476px
caracas indie,"rgb(175, 130, 41)",100%,581px,4684px
seattle indie,"rgb(161, 130, 57)",102%,469px,7381px
brooklyn indie,"rgb(164, 128, 62)",103%,469px,6636px
spanish noise pop,"rgb(172, 127, 64)",101%,441px,5753px
sacramento indie,"rgb(183, 115, 49)",102%,409px,6945px
romanian hip hop,"rgb(170, 135, 29)",101%,1040px,5557px
panamanian rock,"rgb(195, 118, 26)",100%,558px,4396px
east coast reggae,"rgb(162, 140, 20)",101%,995px,6403px
polynesian pop,"rgb(160, 136, 14)",103%,961px,4458px
ritual ambient,"rgb(117, 114, 183)",100%,192px,11066px
swedish soul,"rgb(152, 139, 18)",102%,863px,4692px
villancicos,"rgb(131, 136, 27)",100%,878px,8962px
manele,"rgb(190, 136, 12)",100%,1122px,3651px
nyahbinghi,"rgb(137, 130, 69)",100%,1131px,7636px
samba gospel,"rgb(171, 133, 6)",100%,765px,8002px
environmental,"rgb(182, 0, 197)",106%,79px,12337px
neo classical metal,"rgb(207, 96, 55)",103%,265px,5114px
oromo pop,"rgb(180, 133, 4)",100%,947px,5069px
mexican pop punk,"rgb(215, 102, 11)",101%,332px,3617px
nyc metal,"rgb(206, 83, 142)",100%,152px,7577px
german oi,"rgb(223, 88, 13)",101%,385px,6221px
pagode baiano,"rgb(190, 131, 1)",103%,1064px,7913px
metal balear,"rgb(221, 89, 54)",100%,271px,4457px
canadian contemporary country,"rgb(172, 134, 2)",103%,535px,4581px
hard alternative,"rgb(211, 106, 15)",101%,282px,3199px
mexican metal,"rgb(226, 76, 65)",100%,260px,6401px
metal ecuatoriano,"rgb(211, 95, 62)",100%,319px,6648px
peruvian hip hop,"rgb(182, 128, 3)",102%,1097px,8315px
usbm,"rgb(201, 61, 169)",100%,69px,8528px
reiki,"rgb(36, 163, 207)",100%,115px,14834px
sound,"rgb(190, 0, 198)",102%,81px,11863px
puerto rican folk,"rgb(141, 134, 12)",100%,995px,11344px
instrumental progressive metal,"rgb(204, 109, 189)",100%,280px,4297px
punjabi folk,"rgb(144, 126, 22)",100%,953px,12043px
norges stemme,"rgb(134, 148, 7)",100%,535px,8816px
grisly death metal,"rgb(233, 63, 139)",100%,164px,6451px
minneapolis punk,"rgb(212, 87, 62)",100%,287px,7394px
musica llanera,"rgb(149, 148, 15)",101%,1016px,11246px
metallic hardcore,"rgb(230, 79, 56)",101%,284px,7381px
punk 'n' roll,"rgb(230, 75, 29)",101%,260px,6698px
uk doom metal,"rgb(178, 110, 102)",102%,197px,8814px
north carolina metal,"rgb(210, 87, 80)",100%,229px,7753px
gaian doom,"rgb(164, 120, 103)",101%,192px,8777px
opera,"rgb(53, 150, 39)",101%,338px,16303px
mexican experimental,"rgb(124, 132, 170)",100%,551px,10545px
czech electronic,"rgb(171, 145, 171)",100%,1055px,1812px
indonesian experimental,"rgb(137, 128, 168)",100%,389px,10823px
experimental electronic,"rgb(151, 135, 152)",100%,718px,6051px
slovak electronic,"rgb(180, 142, 182)",100%,1197px,1194px
ukrainian choir,"rgb(47, 154, 56)",100%,86px,16600px
atmosphere,"rgb(40, 173, 222)",102%,39px,14791px
vintage chanson,"rgb(76, 150, 7)",100%,812px,15351px
tahitian,"rgb(141, 141, 41)",100%,910px,8391px
vaudeville,"rgb(69, 145, 36)",100%,1075px,15588px
dutch rock,"rgb(147, 132, 14)",105%,616px,8056px
baltimore indie,"rgb(154, 133, 77)",102%,457px,9228px
trap metal italiana,"rgb(179, 130, 12)",101%,821px,5648px
indie cantabria,"rgb(186, 119, 50)",100%,544px,5271px
london indie,"rgb(170, 128, 27)",101%,505px,6402px
deep surf music,"rgb(181, 123, 154)",100%,511px,8471px
afrobeat brasileiro,"rgb(171, 129, 109)",101%,902px,5898px
moombahton,"rgb(206, 125, 64)",105%,999px,1825px
edmonton indie,"rgb(154, 133, 37)",102%,549px,7320px
jamtronica,"rgb(182, 132, 115)",101%,699px,4982px
eurodance,"rgb(211, 119, 49)",107%,924px,1152px
montenegrin pop,"rgb(183, 126, 9)",100%,814px,4671px
indie emo rock,"rgb(178, 121, 41)",100%,427px,7917px
europop,"rgb(188, 125, 21)",115%,786px,2228px
egyptian alternative,"rgb(145, 139, 28)",100%,736px,7007px
belarusian pop,"rgb(174, 132, 23)",101%,765px,4159px
musica etnica,"rgb(128, 143, 34)",100%,664px,9464px
crust punk,"rgb(225, 56, 98)",100%,233px,7888px
arab groove,"rgb(141, 138, 49)",100%,853px,8441px
psybreaks,"rgb(209, 122, 158)",100%,1093px,1034px
christchurch indie,"rgb(164, 134, 71)",100%,459px,6365px
oberkrainer,"rgb(156, 142, 79)",100%,969px,9947px
irish underground rap,"rgb(163, 131, 39)",100%,963px,7827px
underground hip hop,"rgb(161, 138, 17)",115%,976px,5806px
candomble,"rgb(123, 132, 59)",100%,955px,12154px
brazilian percussion,"rgb(177, 118, 66)",100%,1035px,8389px
danish post-punk,"rgb(193, 107, 78)",100%,304px,6536px
conscious hip hop,"rgb(177, 119, 11)",111%,1044px,6844px
rap ecuatoriano,"rgb(180, 129, 10)",100%,1082px,5250px
funky tech house,"rgb(212, 121, 153)",102%,1283px,416px
australian classical,"rgb(33, 159, 162)",100%,382px,15900px
svensk progg,"rgb(134, 136, 30)",101%,746px,10061px
darkstep,"rgb(229, 110, 160)",100%,795px,1544px
finnish jazz,"rgb(116, 143, 127)",100%,677px,11752px
musique pour enfant quebecois,"rgb(117, 143, 10)",100%,1073px,10198px
classic finnish rock,"rgb(142, 132, 15)",102%,702px,9799px
medway sound,"rgb(196, 98, 44)",100%,471px,10062px
milan indie,"rgb(164, 134, 29)",104%,687px,5815px
uk contemporary jazz,"rgb(126, 141, 140)",101%,779px,9426px
kundiman,"rgb(92, 157, 34)",100%,529px,12214px
gypsy punk,"rgb(176, 121, 38)",100%,733px,6665px
canadian psychedelic,"rgb(139, 132, 58)",100%,589px,9589px
arab trap,"rgb(184, 143, 98)",101%,770px,2333px
dublin indie,"rgb(158, 130, 50)",100%,449px,7554px
indie rock italiano,"rgb(182, 122, 52)",101%,516px,5681px
vlaamse kinderliedje,"rgb(153, 132, 6)",101%,1033px,7348px
lldm,"rgb(119, 145, 16)",100%,608px,10848px
rock chapin,"rgb(181, 124, 23)",100%,540px,5246px
croatian rock,"rgb(179, 121, 14)",100%,641px,5438px
danish punk,"rgb(214, 89, 51)",100%,360px,6895px
croatian hip hop,"rgb(183, 125, 24)",100%,1051px,5670px
neo-psychedelic,"rgb(170, 124, 105)",106%,374px,8577px
hip pop,"rgb(165, 131, 6)",113%,1007px,3983px
nasyid,"rgb(118, 150, 9)",101%,611px,9377px
ethereal wave,"rgb(134, 139, 106)",101%,315px,8145px
